,loan_amnt,int_rate,annual_inc,dti,fico_range_low,revol_util,open_acc,total_acc,revol_bal,target
loan_amnt,1.0,0.14183985409050914,0.3120379272830156,0.032031876075840675,0.10098863090386102,0.10853621114684193,0.1861514265009871,0.20910668117587114,0.31861402594165816,0.06561567629432158
int_rate,0.14183985409050914,1.0,-0.07216626292333829,0.14705147189125925,-0.40560504682939336,0.24314583939207265,-0.00402693549678632,-0.04223972389892711,-0.02796706559510011,0.2588474459790398
annual_inc,0.3120379272830156,-0.07216626292333829,1.0,-0.14047130949907596,0.07099626001076448,0.035221674961216455,0.13521032411285214,0.17601315116615948,0.28657575372213623,-0.04174811088993053
dti,0.032031876075840675,0.14705147189125925,-0.14047130949907596,1.0,-0.0618565211038467,0.14080503277060458,0.22476983998312153,0.1732575951241833,0.10936879436557553,0.08452591355324704
fico_range_low,0.10098863090386102,-0.40560504682939336,0.07099626001076448,-0.0618565211038467,1.0,-0.4599746807235198,0.01784262461675413,0.02150156634613448,0.025744648323642212,-0.13070510857511375
revol_util,0.10853621114684193,0.24314583939207265,0.035221674961216455,0.14080503277060458,-0.4599746807235198,1.0,-0.1404620232567382,-0.10483144698467733,0.23564914217468771,0.06001528702445241
open_acc,0.1861514265009871,-0.00402693549678632,0.13521032411285214,0.22476983998312153,0.01784262461675413,-0.1404620232567382,1.0,0.7014633682636491,0.2241725617223774,0.028154821691918994
total_acc,0.20910668117587114,-0.04223972389892711,0.17601315116615948,0.1732575951241833,0.02150156634613448,-0.10483144698467733,0.7014633682636491,1.0,0.1919831702239389,-0.011256080127726536
revol_bal,0.31861402594165816,-0.02796706559510011,0.28657575372213623,0.10936879436557553,0.025744648323642212,0.23564914217468771,0.2241725617223774,0.1919831702239389,1.0,-0.02001061217281727
target,0.06561567629432158,0.2588474459790398,-0.04174811088993053,0.08452591355324704,-0.13070510857511375,0.06001528702445241,0.028154821691918994,-0.011256080127726536,-0.02001061217281727,1.0
