year_month,count,default_rate,avg_loan_amnt
2007Q2,1,0.0,7500.0
2007Q3,81,0.12345679012345678,6496.2962962962965
2007Q4,169,0.20710059171597633,9973.816568047338
2008Q1,581,0.16523235800344235,10558.261617900172
2008Q2,292,0.1506849315068493,8065.667808219178
2008Q3,186,0.15053763440860216,6032.5268817204305
2008Q4,503,0.15705765407554673,9500.397614314115
2009Q1,775,0.12,9265.225806451614
2009Q2,965,0.12953367875647667,9311.554404145078
2009Q3,1231,0.11697806661251016,9748.395613322502
2009Q4,1745,0.1329512893982808,10469.828080229227
2010Q1,1953,0.10650281618023553,10754.109062980031
2010Q2,2776,0.13436599423631124,10469.803674351586
2010Q3,3284,0.14007308160779536,10239.608708891596
2010Q4,3523,0.12659665058189043,10907.571671870564
2011Q1,4126,0.13693650024236548,11147.158264663112
2011Q2,5102,0.15346922775382202,11330.894747157978
2011Q3,5876,0.1465282505105514,11984.815350578625
2011Q4,6617,0.16442496599667522,13217.115006800665
2012Q1,8076,0.16146607231302626,13597.690688459634
2012Q2,10447,0.17028812099167226,13148.868096104145
2012Q3,16133,0.16450753114733777,12855.69484906713
2012Q4,18711,0.15536315536315537,14100.204425204425
2013Q1,22706,0.1501805690125958,15541.674006870431
2013Q2,30668,0.16254728055301942,14550.202980305205
2013Q3,37571,0.1556253493385856,14338.735327779405
2013Q4,43859,0.15463188855195056,14701.144576939738
2014Q1,47013,0.16486929147257143,14904.43919766873
2014Q2,52456,0.18617508006710387,14491.222643739515
2014Q3,55238,0.18809515188819292,14559.94016800029
2014Q4,68396,0.19379788291712965,14450.750774899117
2015Q1,76803,0.20096871215968126,14816.173521867635
2015Q2,85942,0.20577831560820087,14582.452118870866
2015Q3,97904,0.2024329955875143,14782.234893364928
2015Q4,114897,0.19900432561337547,14449.372481439897
2016Q1,111934,0.20361105651544661,14960.419086247253
2016Q2,62949,0.25345914947020604,14437.282164927163
2016Q3,60891,0.25957859125322297,14067.434432017868
2016Q4,57331,0.23896321361915893,13960.848842685458
2017Q1,46874,0.2293595596706063,14522.10820497504
2017Q2,44492,0.23804279421019509,14147.597320866673
2017Q3,43854,0.23938523281798696,14028.683244401878
2017Q4,34101,0.21492038356646434,14548.675991906395
2018Q1,22530,0.19471815357301375,15245.71127385708
2018Q2,18449,0.181419047102824,14913.927584150902
2018Q3,10309,0.09874866621398777,14493.430497623436
2018Q4,5030,0.024254473161033796,13922.708747514911
